station_name,number
苹果园,1
古城,2
 八角游乐园,3
 八宝山,4
 玉泉路,5
 五棵松,6
 万寿路,7
 公主坟,8
 军事博物馆,9
 木樨地,10
 南礼士路,11
 复兴门,12
 西单,13
 天安门西,14
 天安门东,15
 王府井,16
 东单,17
 建国门,18
 永安里,19
 国贸,20
 大望路,21
 四惠,22
 四惠东,23
 西直门,24
 积水潭,25
 鼓楼大街,26
 安定门,27
 雍和宫,28
 东直门,29
 东四十条,30
 朝阳门,31
 北京站,32
 崇文门,33
 前门,34
 和平门,35
 宣武门,36
 长椿街,37
 阜成门,38
 车公庄,39
天宫院,40
生物医院基地,41
义和庄,42
黄村火车站,43
黄村西大街,44
清源路,45
枣园,46
高米店南,47
高米店北,48
西红门,49
新宫,50
公益西桥,51
角门西,52
马家堡,53
北京南站,54
陶然亭,55
菜市口,56
宣武门,57
西单,58
灵境胡同,59
西四,60
平安里,61
新街口,62
西直门,63
动物园,64
国家图书馆,65
魏公村,66
人民大学,67
海淀黄庄,68
中关村,69
北京大学东门,70
圆明园,71
西苑,72
北宫门,73
安河桥北,74
 海淀五路居,75
 慈寿寺,76
 花园桥,77
 白石桥南,78
 车公庄西,79
 平安里,80
 北海北,81
 南锣鼓巷,82
 东四,83
 东大桥,84
 呼家楼,85
 金台路,86
 十里堡,87
 青年路,88
 褡裢坡,89
 黄渠,90
 常营,91
 草房,92
 物资学院路,93
 通州北关,94
 通运门,95
 北运河西,96
 北运河东,97
 郝家府,98
 东夏园,99
 潞城,100
 宋家庄,101
 刘家窑,102
 蒲黄榆,103
 天坛东门,104
 磁器口,105
 灯市口,106
 张自忠路,107
 北新桥,108
 和平里北街,109
 和平西桥,110
 惠新西街南口,111
 惠新西街北口,112
 大屯路东,113
 北苑路北,114
 立水桥南,115
 立水桥,116
 天通苑南,117
 天通苑,118
 天通苑北,119
 朱辛庄,120
 育知路,121
 平西府,122
 回龙观东大街,123
 霍营,124
 育新,125
 西小口,126
 永泰庄,127
 林萃桥,128
 森林公园南门,129
 奥林匹克公园,130
 奥体中心,131
 北土城,132
 安华桥,133
 安德里北街,134
 什刹海,135
 高碑店,136
 传媒大学,137
 双桥,138
 管庄,139
 八里桥,140
 通州北苑,141
 果园,142
 九棵树,143
 梨园,144
 临河里,145
 土桥,146
 肖村,147
 小红门,148
 旧宫,149
 亦庄桥,150
 亦庄文化园,151
 万源街,152
 荣京东街,153
 荣昌东街,154
 同济南路,155
 经海路,156
 次渠南,157
 次渠,158
 亦庄火车站,159
 北京西站,160
 湾子,161
 达官营,162
 广安门内,163
 菜市口,164
 虎坊桥,165
 珠市口,166
 桥湾,167
 广渠门内,168
 广渠门外,169
 双井,170
 九龙山,171
 大郊亭,172
 百子湾,173
 化工,174
 南楼梓庄,175
 欢乐谷景区,176
 垡头,177
 双合,178
 焦化厂,179
 郭公庄,180
 丰台科技园,181
 科怡路,182
 丰台南路,183
 丰台东大街,184
 七里庄,185
 六里桥,186
 六里桥东,187
 白堆子,188
 国家图书馆,189
巴沟,190
苏州街,191
知春里,192
知春路,193
西土城,194
牡丹园,195
健德门,196
北土城,197
安贞门,198
惠新西街南口,199
芍药居,200
太阳宫,201
三元桥,202
亮马桥,203
农业展览馆,204
团结湖,205
呼家楼,206
金台夕照,207
国贸,208
双井,209
劲松,210
潘家园,211
十里河,212
分钟寺,213
成寿寺,214
宋家庄,215
石榴庄,216
大红门,217
角门东,218
草桥,219
纪家庙,220
首经贸,221
丰台站,222
泥洼,223
西局,224
六里桥,225
莲花桥,226
公主坟,227
西钓鱼台,228
慈寿寺,229
车道沟,230
长春桥,231
火器营,232
 大钟寺,233
 知春路,234
 五道口,235
 上地,236
 西二旗,237
 龙泽,238
 回龙观,239
 北苑,240
 望京西,241
 芍药居,242
 光熙门,243
 柳芳,244
张郭庄,245
园博园,246
大瓦窑,247
郭庄子,248
大井,249
七里庄,250
永定门外,251
景泰,252
蒲黄榆,253
方庄,254
北工大西门,255
九龙山,256
大望路,257
金台路,258
朝阳公园,259
枣营,260
东风北桥,261
将台,262
望京南,263
阜通,264
望京,265
东湖渠,266
来广营,267
善各庄,268
 俸伯,269
 顺义,270
 石门,271
 南法信,272
 后沙峪,273
 花梨坎,274
 国展,275
 孙河,276
 马泉营,277
 崔各庄,278
 望京东,279
 望京,280
 关庄,281
 安立路,282
 北沙滩,283
 六道口,284
 清华东路西口,285
 昌平西山口,286
 十三陵景区,287
 昌平,288
 昌平东关,289
 北邵洼,290
 南邵,291
 沙河高教园,292
 沙河,293
 巩华城,294
 生命科学园,295
